filenames,rsid,round,samples,zi,zf
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_2\Slide4_2_MMStack_Pos-1-1.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_2\Slide4_2_MMStack_Pos-1-2.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_2\Slide4_2_MMStack_Pos-2-0.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_2\Slide4_2_MMStack_Pos-2-1.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_2\Slide4_2_MMStack_Pos-2-2.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-0-0.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-0-1.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-0-2.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-1-0.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-1-1.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-1-2.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-2-0.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-2-1.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_4\Slide4_3\Slide4_3_MMStack_Pos-2-2.ome.tif,1.04,Round1,Slide_4,5,13
D:\Emma\biscut_compare\Round1\Slide_5\Slide5\Slide5_MMStack_Pos-0-0.ome.tif,1.05,Round1,Slide_5,5,13
D:\Emma\biscut_compare\Round1\Slide_5\Slide5\Slide5_MMStack_Pos-0-1.ome.tif,1.05,Round1,Slide_5,5,13
D:\Emma\biscut_compare\Round1\Slide_5\Slide5\Slide5_MMStack_Pos-0-2.ome.tif,1.05,Round1,Slide_5,5,13
