filenames,rsid,round,samples,zi,zf
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_2.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_3.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_4.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_5.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_6.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_7.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_8.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample3\Sample3_3\pos_9.tif,1.03,Round1,Sample3,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_1.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_2.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_3.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_4.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_5.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_6.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_7.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_8.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_1\pos_9.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_1.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_2.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_3.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_4.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_5.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_6.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_7.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_8.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_2\pos_9.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_1.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_2.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_3.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_4.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_5.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_6.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_7.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_8.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample4\Sample4_3\pos_9.tif,1.04,Round1,Sample4,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_1.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_2.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_3.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_4.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_5.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_6.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_7.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_8.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_1\pos_9.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_1.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_2.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_3.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_4.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_5.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_6.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_7.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_8.tif,1.05,Round1,Sample5,5,13
D:\Emma\sycamore_compare\Round1\Sample5\Sample5_2\pos_9.tif,1.05,Round1,Sample5,5,13
